id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
244786,Whiplash,8.381,13891,2014-10-10,13092000,107,False,3300000,54.495,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,"Drama, Music"
1422,The Departed,8.166,13792,2006-10-04,291465000,151,False,90000000,42.503,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,"Drama, Thriller, Crime"
120467,The Grand Budapest Hotel,8.049,13787,2014-02-26,174600318,100,False,30000000,33.966,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,"Comedy, Drama"
77,Memento,8.188,13723,2000-10-11,39723096,113,False,9000000,31.795,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,"Mystery, Thriller"
38,Eternal Sunshine of the Spotless Mind,8.101,13709,2004-03-19,72258126,108,False,20000000,54.124,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,"Science Fiction, Drama, Romance"
101,Léon: The Professional,8.316,13652,1994-09-14,45284974,111,False,16000000,58.625,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"Crime, Drama, Action"
44214,Black Swan,7.672,13567,2010-12-03,329398046,108,False,13000000,34.932,/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg,"Drama, Thriller, Horror"
752,V for Vendetta,7.897,13556,2006-02-23,132511035,132,False,54000000,42.174,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"Action, Thriller, Science Fiction"
152601,Her,7.862,13407,2013-12-18,47351251,126,False,23000000,37.608,/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,"Romance, Science Fiction, Drama"
500,Reservoir Dogs,8.132,13296,1992-09-02,2859750,99,False,1200000,34.018,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,"Crime, Thriller"
273248,The Hateful Eight,7.746,13291,2015-12-25,155760117,188,False,44000000,32.119,/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,"Drama, Mystery, Western"
348,Alien,8.147,13206,1979-05-25,104931801,117,False,11000000,72.767,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,"Horror, Science Fiction"
447332,A Quiet Place,7.396,13079,2018-04-03,341000000,91,False,17000000,38.002,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,"Horror, Drama, Science Fiction"
393,Kill Bill: Vol. 2,7.876,12916,2004-04-16,152159461,136,False,30000000,37.053,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,"Action, Crime, Thriller"
137113,Edge of Tomorrow,7.606,12828,2014-05-27,370541256,114,False,178000000,51.408,/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg,"Action, Science Fiction"
78,Blade Runner,7.931,12770,1982-06-25,41722424,118,False,28000000,56.798,/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,"Science Fiction, Drama, Thriller"
324786,Hacksaw Ridge,8.195,12668,2016-10-07,175302354,139,False,40000000,74.994,/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,"Drama, History, War"
8966,Twilight,6.286,12638,2008-11-20,393616788,122,False,37000000,71.541,/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,"Fantasy, Drama, Romance"
274870,Passengers,6.934,12429,2016-12-21,303144152,116,False,110000000,27.272,/jK9S6HANSf2no64v1x1HxfcpmcA.jpg,"Drama, Romance, Science Fiction"
264660,Ex Machina,7.572,12362,2015-01-21,36869414,108,False,15000000,26.767,/dmJW8IAKHKxFNiUnoDR7JfsK7Rp.jpg,"Drama, Science Fiction"
335984,Blade Runner 2049,7.544,12331,2017-10-04,259239658,164,False,150000000,70.54,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Science Fiction, Drama"
425,Ice Age,7.348,12296,2002-03-10,383257136,81,False,59000000,70.773,/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg,"Animation, Comedy, Family, Adventure"
466272,Once Upon a Time… in Hollywood,7.437,12237,2019-07-24,374251247,162,False,95000000,47.706,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,"Comedy, Drama, Thriller"
637,Life Is Beautiful,8.455,12218,1997-12-20,230098753,116,False,20000000,39.478,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,"Comedy, Drama"
194662,Birdman or (The Unexpected Virtue of Ignorance),7.471,12157,2014-10-17,103215094,120,False,18000000,43.866,/rHUg2AuIuLSIYMYFgavVwqt1jtc.jpg,"Drama, Comedy"
157350,Divergent,6.92,12118,2014-03-14,288885818,139,False,85000000,39.066,/aNh4Q3iuPKDMPi2SL7GgOpiLukX.jpg,"Action, Adventure, Science Fiction"
162,Edward Scissorhands,7.716,12049,1990-12-07,53000000,105,False,20000000,37.283,/1RFIbuW9Z3eN9Oxw2KaQG5DfLmD.jpg,"Fantasy, Drama, Romance"
324552,John Wick: Chapter 2,7.323,12007,2017-02-08,171539887,122,False,40000000,88.285,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,"Action, Thriller, Crime"
49538,X-Men: First Class,7.296,11986,2011-06-01,353624124,132,False,160000000,1.659,/vUvlOY575rztBuJV3a0dbHW5MQR.jpg,"Action, Science Fiction, Adventure"
185,A Clockwork Orange,8.2,11946,1971-12-19,26589000,137,False,2200000,38.323,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,"Science Fiction, Drama"
4922,The Curious Case of Benjamin Button,7.579,11899,2008-12-25,335802786,166,False,150000000,42.669,/26wEWZYt6yJkwRVkjcbwJEFh9IS.jpg,"Drama, Fantasy, Romance"
218,The Terminator,7.646,11874,1984-10-26,78371200,108,False,6400000,44.969,/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,"Action, Thriller, Science Fiction"
165,Back to the Future Part II,7.752,11817,1989-11-22,332000000,108,False,40000000,30.516,/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,"Adventure, Comedy, Science Fiction"
769,GoodFellas,8.464,11726,1990-09-12,46835000,145,False,25000000,83.57,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,"Drama, Crime"
64690,Drive,7.572,11718,2011-09-15,78054825,100,False,15000000,38.238,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,"Drama, Thriller, Crime"
68726,Pacific Rim,6.878,11567,2013-07-11,411002906,131,False,180000000,55.847,/8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,"Action, Science Fiction, Adventure"
141,Donnie Darko,7.8,11515,2001-10-24,7500000,114,False,6000000,38.016,/j73zf3TjWR9j8pHLndaHWh0YWvN.jpg,"Fantasy, Drama, Mystery"
